A B C
71 98 100
41 13 13
40 18 93
93 9 87
65 78 97
49 60 29
57 31 54
92 97 1
35 89 79
77 65 26
11 65 81
16 5 40
13 1 44
85 48 95
10 21 82
41 30 35
57 15 47
68 99 24
75 50 98
59 95 90
67 25 33
85 57 68
66 31 68
91 31 77
60 69 98
65 13 39
2 69 18
96 59 91
11 77 49
14 26 90
84 55 5
39 87 35
94 72 36
76 60 94
82 93 8
72 11 85
95 100 8
60 77 1
36 86 3
67 84 54
1 14 44
84 67 91
12 39 10
3 62 81
40 16 64
46 23 85
41 40 100
16 44 49
78 52 76
12 86 56
80 71 45
54 87 25
17 23 15
55 61 92
54 7 78
31 37 3
72 77 63
24 64 18
3 69 65
39 32 14
17 2 1
37 26 43
12 83 91
64 87 87
35 57 13
7 74 66
83 17 83
79 85 54
83 69 87
38 15 33
57 16 8
80 16 4
20 25 49
61 90 73
79 22 11
41 57 8
87 98 21
82 4 70
32 27 1
78 50 65
18 50 58
55 13 97
71 10 53
66 60 81
95 63 6
94 37 61
39 23 99
83 4 90
43 41 14
70 2 30
64 30 92
34 39 43
96 48 55
96 2 30
73 36 88
69 28 1
83 28 62
93 43 99
19 99 41
79 56 67
75 5 99
55 42 78
45 5 17
72 24 30
88 23 77
36 31 29
14 38 39
88 81 13
54 31 76
57 65 24
74 60 82
25 31 63
44 60 82
32 10 88
99 17 90
50 28 35
14 85 45
35 9 74
16 18 18
3 40 33
35 27 81
76 18 51
68 36 38
71 12 60
39 89 57
6 6 46
84 88 14
45 28 23
30 11 93
80 35 95
26 89 47
49 68 90
63 93 11
26 3 26
91 66 30
24 73 86
20 64 71
73 13 47
56 82 22
9 77 66
52 59 83
41 17 16
13 76 77
84 97 56
10 14 52
54 69 86
21 60 37
96 29 10
57 19 4
15 5 69
41 51 29
23 87 64
30 41 80
28 33 53
77 47 34
72 89 72
92 67 3
1 48 75
36 78 59
19 9 35
35 25 2
98 56 67
50 5 64
34 72 62
43 67 91
18 94 24
11 76 35
92 83 50
57 55 16
39 9 6
89 36 28
31 60 35
70 23 86
31 51 7
47 75 14
82 6 60
6 8 94
38 9 98
86 20 91
82 72 91
24 6 10
31 9 40
74 70 62
36 10 7
27 98 29
78 45 76
23 85 100
56 56 5
55 95 22
13 97 77
12 33 27
73 60 11
37 41 61
22 64 49
6 12 86
57 8 93
94 51 1
98 93 42
39 58 99
46 50 42
39 48 23
84 43 82
53 38 67
98 13 85
96 18 66
31 9 27
9 24 20
98 52 9
4 46 39
57 91 80
41 62 87
87 19 82
61 43 63
95 99 10
76 90 48
92 91 41
7 41 59
83 42 68
18 40 100
23 43 20
88 71 37
17 22 75
